,UNIT,station_name,lat,lng,location_string
0,R001,SOUTH FERRY,40.703082,-74.012983,"40.703082,-74.012983"
1,R002,FULTON ST,40.709938,-74.007983,"40.709938,-74.007983"
2,R003,CYPRESS HILLS,40.689945,-73.872564,"40.689945,-73.872564"
3,R004,ELDERTS LANE,40.69132,-73.867135,"40.69132,-73.867135"
4,R005,FOREST PARKWAY,40.692304,-73.860151,"40.692304,-73.860151"
5,R006,WOODHAVEN BLVD,40.693866,-73.851568,"40.693866,-73.851568"
6,R007,104 ST,40.695184,-73.844326,"40.695184,-73.844326"
7,R008,111 ST,40.697405,-73.836354,"40.697405,-73.836354"
8,R009,121 ST,40.700536,-73.828382,"40.700536,-73.828382"
9,R010,42 ST-PA BUS TE,40.757303,-73.989787,"40.757303,-73.989787"
10,R011,42 ST-PA BUS TE,40.757303,-73.989787,"40.757303,-73.989787"
11,R012,34 ST-PENN STA,40.752247,-73.993456,"40.752247,-73.993456"
12,R013,34 ST-PENN STA,40.752247,-73.993456,"40.752247,-73.993456"
13,R014,FULTON ST,40.709938,-74.007983,"40.709938,-74.007983"
14,R015,5 AVE-53 ST,40.760179,-73.975196,"40.760179,-73.975196"
15,R016,LEXINGTON-53 ST,40.75753,-73.969102,"40.75753,-73.969102"
16,R017,LEXINGTON-53 ST,40.75753,-73.969102,"40.75753,-73.969102"
17,R018,74 ST-BROADWAY,40.746655,-73.891361,"40.746655,-73.891361"
18,R019,JAMAICA-179 ST,40.712622,-73.783815,"40.712622,-73.783815"
19,R020,47-50 ST-ROCK,40.758652,-73.981311,"40.758652,-73.981311"
20,R021,42 ST-BRYANT PK,40.754198,-73.984573,"40.754198,-73.984573"
21,R022,34 ST-HERALD SQ,40.749533,-73.987899,"40.749533,-73.987899"
22,R023,34 ST-HERALD SQ,40.749533,-73.987899,"40.749533,-73.987899"
23,R024,SUTPHIN BLVD,40.700488,-73.807933,"40.700488,-73.807933"
24,R025,JAMAICA CENTER,40.702131,-73.80111,"40.702131,-73.80111"
25,R027,WALL ST,40.706864,-74.009056,"40.706864,-74.009056"
26,R028,FULTON ST,40.709938,-74.007983,"40.709938,-74.007983"
27,R029,CHAMBERS ST,40.71433,-74.008563,"40.71433,-74.008563"
28,R030,CHAMBERS ST,40.715436,-74.009335,"40.715436,-74.009335"
29,R031,34 ST-PENN STA,40.750329,-73.991096,"40.750329,-73.991096"
30,R032,42 ST-TIMES SQ,40.755905,-73.986504,"40.755905,-73.986504"
31,R033,42 ST-TIMES SQ,40.755905,-73.986504,"40.755905,-73.986504"
32,R034,125 ST,40.815596,-73.958395,"40.815596,-73.958395"
33,R035,168 ST-BROADWAY,40.840778,-73.940091,"40.840778,-73.940091"
34,R036,DYCKMAN ST,40.860523,-73.925575,"40.860523,-73.925575"
35,R037,207 ST,40.864653,-73.918719,"40.864653,-73.918719"
36,R038,215 ST,40.869359,-73.915329,"40.869359,-73.915329"
37,R039,MARBLE HILL-225,40.874551,-73.909879,"40.874551,-73.909879"
38,R040,231 ST,40.878867,-73.904858,"40.878867,-73.904858"
39,R041,BOWLING GREEN,40.704782,-74.014099,"40.704782,-74.014099"
40,R042,BOWLING GREEN,40.704782,-74.014099,"40.704782,-74.014099"
41,R043,WALL ST,40.707466,-74.011867,"40.707466,-74.011867"
42,R044,BROOKLYN BRIDGE,40.713159,-74.003917,"40.713159,-74.003917"
43,R045,42 ST-GRD CNTRL,40.751849,-73.976945,"40.751849,-73.976945"
44,R046,42 ST-GRD CNTRL,40.751849,-73.976945,"40.751849,-73.976945"
45,R047,42 ST-GRD CNTRL,40.751849,-73.976945,"40.751849,-73.976945"
46,R048,42 ST-GRD CNTRL,40.751849,-73.976945,"40.751849,-73.976945"
47,R049,51 ST,40.757108,-73.97187,"40.757108,-73.97187"
48,R050,59 ST,40.762796,-73.967686,"40.762796,-73.967686"
49,R051,59 ST,40.762796,-73.967686,"40.762796,-73.967686"
50,R052,WOODLAWN ROAD,40.885973,-73.878851,"40.885973,-73.878851"
51,R053,149 ST-3 AVE,40.816132,-73.917754,"40.816132,-73.917754"
52,R054,5 AVE-BRYANT PK,40.753824,-73.981966,"40.753824,-73.981966"
53,R055,MAIN ST,40.759578,-73.830056,"40.759578,-73.830056"
54,R056,NEVINS ST,40.688269,-73.980453,"40.688269,-73.980453"
55,R057,ATLANTIC AVE,40.684063,-73.977417,"40.684063,-73.977417"
56,R058,BERGEN ST,40.680801,-73.975132,"40.680801,-73.975132"
57,R059,GRAND ARMY PLAZ,40.675219,-73.971012,"40.675219,-73.971012"
58,R060,EASTERN PKWY,40.672013,-73.96436,"40.672013,-73.96436"
59,R061,NOSTRAND AVE,40.669735,-73.950455,"40.669735,-73.950455"
60,R062,CROWN HTS-UTICA,40.669279,-73.932967,"40.669279,-73.932967"
61,R063,SUTTER AVE,40.664591,-73.922668,"40.664591,-73.922668"
62,R064,SARATOGA AVE,40.661466,-73.916316,"40.661466,-73.916316"
63,R065,ROCKAWAY AVE,40.662541,-73.908763,"40.662541,-73.908763"
64,R066,JUNIUS ST,40.663419,-73.902454,"40.663419,-73.902454"
65,R067,PENNSYLVANIA AV,40.664884,-73.894258,"40.664884,-73.894258"
66,R068,VAN SICLEN AVE,40.665405,-73.889451,"40.665405,-73.889451"
67,R069,NEW LOTS AVE,40.666252,-73.884087,"40.666252,-73.884087"
68,R070,ST. GEORGE,40.643738,-74.073622,"40.643738,-74.073622"
69,R076,2 BDWY CUST SRV,40.704591,-74.013273,"40.704591,-74.013273"
70,R079,5 AVE-59 ST,40.764909,-73.973372,"40.764909,-73.973372"
71,R080,57 ST-7 AVE,40.764755,-73.980646,"40.764755,-73.980646"
72,R081,49 ST-7 AVE,40.760139,-73.984112,"40.760139,-73.984112"
73,R082,28 ST-BROADWAY,40.745574,-73.988682,"40.745574,-73.988682"
74,R083,23 ST-5 AVE,40.741006,-73.989315,"40.741006,-73.989315"
75,R084,59 ST-COLUMBUS,40.76811,-73.981891,"40.76811,-73.981891"
76,R085,8 ST-B'WAY NYU,40.730348,-73.992705,"40.730348,-73.992705"
77,R086,PRINCE ST-B'WAY,40.724332,-73.997684,"40.724332,-73.997684"
78,R087,MURRAY ST-B'WAY,40.713086,-74.007232,"40.713086,-74.007232"
79,R088,CORTLANDT ST,40.710662,-74.011052,"40.710662,-74.011052"
80,R089,JAY ST-METROTEC,40.692182,-73.985935,"40.692182,-73.985935"
81,R090,BEEBE-39 AVE,40.753076,-73.93271,"40.753076,-73.93271"
82,R091,WASHINGTON-36 A,40.756977,-73.929373,"40.756977,-73.929373"
83,R092,BROADWAY-31 ST,40.761959,-73.925382,"40.761959,-73.925382"
84,R093,GRAND-30 AVE,40.766843,-73.921423,"40.766843,-73.921423"
85,R094,HOYT ST-ASTORIA,40.770426,-73.917614,"40.770426,-73.917614"
86,R095,DITMARS BL-31 S,40.774984,-73.912067,"40.774984,-73.912067"
87,R096,82 ST-JACKSON H,40.747647,-73.883786,"40.747647,-73.883786"
88,R097,JUNCTION BLVD,40.749143,-73.869452,"40.749143,-73.869452"
89,R098,CHURCH AVE,40.650494,-73.962836,"40.650494,-73.962836"
90,R098,CHURCH AVE,40.650494,-73.962836,"40.650494,-73.962836"
91,R099,DEKALB AVE,40.690612,-73.981848,"40.690612,-73.981848"
92,R100,METROPOLITAN AV,40.711353,-73.88958,"40.711353,-73.88958"
93,R101,145 ST,40.824787,-73.944232,"40.824787,-73.944232"
94,R102,125 ST,40.811056,-73.952386,"40.811056,-73.952386"
95,R103,BROADWAY-ENY,40.678848,-73.904139,"40.678848,-73.904139"
96,R104,167 ST,40.833773,-73.91843,"40.833773,-73.91843"
97,R105,14 ST,40.738007,-73.998381,"40.738007,-73.998381"
98,R106,CASTLE HILL AVE,40.834255,-73.851222,"40.834255,-73.851222"
99,R107,WESTCHESTER SQ,40.839892,-73.842952,"40.839892,-73.842952"
100,R108,BOROUGH HALL/CT,40.692404,-73.990151,"40.692404,-73.990151"
101,R109,CHURCH AVE,40.650843,-73.949575,"40.650843,-73.949575"
102,R110,FLATBUSH AVE,40.632836,-73.947642,"40.632836,-73.947642"
103,R111,23 ST,40.745924,-73.998005,"40.745924,-73.998005"
104,R112,FORDHAM ROAD,40.862803,-73.901034,"40.862803,-73.901034"
105,R113,7 AVE-53 ST,40.762877,-73.98159,"40.762877,-73.98159"
106,R114,PARSONS BLVD,40.707564,-73.803326,"40.707564,-73.803326"
107,R115,169 ST,40.710459,-73.7936,"40.710459,-73.7936"
108,R116,50 ST,40.761675,-73.983908,"40.761675,-73.983908"
109,R117,242 ST,40.889185,-73.898549,"40.889185,-73.898549"
110,R118,CANAL ST,40.718233,-74.000323,"40.718233,-74.000323"
111,R119,FORDHAM ROAD,40.862941,-73.901199,"40.862941,-73.901199"
112,R120,MORRISON AVE,40.829495,-73.874559,"40.829495,-73.874559"
113,R121,QUEENSBORO PLZ,40.750508,-73.940177,"40.750508,-73.940177"
114,R122,90 ST-ELMHURST,40.748541,-73.876791,"40.748541,-73.876791"
115,R123,FRANKLIN AVE,40.670711,-73.958051,"40.670711,-73.958051"
116,R124,KINGSTON AVE,40.669409,-73.942173,"40.669409,-73.942173"
117,R125,BROAD ST,40.706539,-74.011052,"40.706539,-74.011052"
118,R126,175 ST,40.847369,-73.939683,"40.847369,-73.939683"
119,R127,JAY ST-METROTEC,40.692338,-73.987342,"40.692338,-73.987342"
120,R128,SUTPHIN BLVD,40.705416,-73.810562,"40.705416,-73.810562"
121,R129,BERGEN ST,40.686154,-73.990881,"40.686154,-73.990881"
122,R130,KINGS HIGHWAY,40.603234,-73.972342,"40.603234,-73.972342"
123,R131,23 ST,40.740088,-73.986429,"40.740088,-73.986429"
124,R132,125 ST,40.804406,-73.937452,"40.804406,-73.937452"
125,R133,MOSHOLU PARKWAY,40.87963,-73.884666,"40.87963,-73.884666"
126,R134,HUNTERS PT AVE,40.74238,-73.948889,"40.74238,-73.948889"
127,R135,NEWKIRK AVE,40.639961,-73.948352,"40.639961,-73.948352"
128,R136,SHEEPSHEAD BAY,40.58681,-73.954167,"40.58681,-73.954167"
129,R137,MYRTLE AVE,40.699707,-73.91181,"40.699707,-73.91181"
130,R138,W 4 ST-WASH SQ,40.732251,-74.000559,"40.732251,-74.000559"
131,R139,CANAL ST,40.720852,-74.005237,"40.720852,-74.005237"
132,R140,QUEENS PLAZA,40.748948,-73.937194,"40.748948,-73.937194"
133,R141,FOREST HILLS-71,40.721681,-73.84439,"40.721681,-73.84439"
134,R142,DELANCEY ST,40.71838,-73.987813,"40.71838,-73.987813"
135,R143,28 ST,40.743095,-73.984251,"40.743095,-73.984251"
136,R144,96 ST,40.785822,-73.95097,"40.785822,-73.95097"
137,R145,WAKEFIELD-241,40.903085,-73.850591,"40.903085,-73.850591"
138,R146,HUNTS POINT AVE,40.820889,-73.890567,"40.820889,-73.890567"
139,R147,61 ST/WOODSIDE,40.745623,-73.902969,"40.745623,-73.902969"
140,R148,PARKSIDE AVE,40.655053,-73.961227,"40.655053,-73.961227"
141,R149,NEWKIRK AVE,40.635059,-73.962793,"40.635059,-73.962793"
142,R150,AVE U,40.599307,-73.955916,"40.599307,-73.955916"
143,R151,STILLWELL AVE,40.577423,-73.981225,"40.577423,-73.981225"
144,R152,ROCKAWAY PKY,40.64666,-73.901832,"40.64666,-73.901832"
145,R153,UTICA AVE,40.679279,-73.930585,"40.679279,-73.930585"
146,R154,TREMONT AVE,40.850307,-73.905244,"40.850307,-73.905244"
147,R155,KINGSBRIDGE RD,40.866974,-73.893485,"40.866974,-73.893485"
148,R156,BEDFORD PARK BL,40.873026,-73.886919,"40.873026,-73.886919"
149,R157,NORWOOD-205 ST,40.874827,-73.878872,"40.874827,-73.878872"
150,R158,UNION TPK-KEW G,40.714444,-73.830979,"40.714444,-73.830979"
151,R159,116 ST-COLUMBIA,40.80819,-73.964124,"40.80819,-73.964124"
152,R160,ASTOR PLACE,40.730056,-73.991042,"40.730056,-73.991042"
153,R161,KINGSBRIDGE RD,40.867899,-73.897326,"40.867899,-73.897326"
154,R162,ELDER AVE,40.828894,-73.879559,"40.828894,-73.879559"
155,R163,14 ST-6 AVE,40.737348,-73.9969,"40.737348,-73.9969"
156,R164,66 ST-LINCOLN,40.773424,-73.982234,"40.773424,-73.982234"
157,R165,TOMPKINSVILLE,40.636948,-74.074824,"40.636948,-74.074824"
158,R166,79 ST,40.783872,-73.979938,"40.783872,-73.979938"
159,R167,86 ST,40.788844,-73.97599,"40.788844,-73.97599"
160,R168,96 ST,40.79388,-73.972363,"40.79388,-73.972363"
161,R169,137 ST-CITY COL,40.821994,-73.953674,"40.821994,-73.953674"
162,R170,14 ST-UNION SQ,40.734836,-73.990688,"40.734836,-73.990688"
163,R171,7 AVE,40.677172,-73.972514,"40.677172,-73.972514"
164,R172,BRIGHTON BEACH,40.577961,-73.961806,"40.577961,-73.961806"
165,R173,INWOOD-207 ST,40.868045,-73.919921,"40.868045,-73.919921"
166,R174,181 ST,40.851686,-73.937967,"40.851686,-73.937967"
167,R175,14 ST,40.740388,-74.002104,"40.740388,-74.002104"
168,R176,33 ST,40.746119,-73.981826,"40.746119,-73.981826"
169,R177,68ST-HUNTER COL,40.768143,-73.964016,"40.768143,-73.964016"
170,R178,77 ST,40.773636,-73.959875,"40.773636,-73.959875"
171,R179,86 ST,40.779485,-73.955541,"40.779485,-73.955541"
172,R180,103 ST,40.790582,-73.947473,"40.790582,-73.947473"
173,R181,110 ST,40.795066,-73.944297,"40.795066,-73.944297"
174,R182,116 ST,40.798574,-73.941593,"40.798574,-73.941593"
175,R183,BEDFORD PARK BL,40.873399,-73.890084,"40.873399,-73.890084"
176,R184,CORTELYOU ROAD,40.640905,-73.963866,"40.640905,-73.963866"
177,R185,DYCKMAN-200 ST,40.865286,-73.92698,"40.865286,-73.92698"
178,R186,86 ST,40.785822,-73.968952,"40.785822,-73.968952"
179,R187,81 ST-MUSEUM,40.781435,-73.972149,"40.781435,-73.972149"
180,R188,50 ST,40.762439,-73.985989,"40.762439,-73.985989"
181,R189,CHRISTOPHER ST,40.733405,-74.002898,"40.733405,-74.002898"
182,R190,23 ST,40.744071,-73.995624,"40.744071,-73.995624"
183,R191,103 ST,40.799354,-73.968329,"40.799354,-73.968329"
184,R192,110 ST-CATHEDRL,40.804032,-73.966742,"40.804032,-73.966742"
185,R193,157 ST,40.833879,-73.944726,"40.833879,-73.944726"
186,R194,BLEECKER ST,40.725665,-73.995645,"40.725665,-73.995645"
187,R195,161 ST-YANKEE,40.827888,-73.925736,"40.827888,-73.925736"
188,R196,PROSPECT PARK,40.661596,-73.962193,"40.661596,-73.962193"
189,R197,36 ST,40.65515,-74.003477,"40.65515,-74.003477"
190,R198,NOSTRAND AVE,40.68041,-73.950326,"40.68041,-73.950326"
191,R199,KINGSTON-THROOP,40.679921,-73.940858,"40.679921,-73.940858"
192,R200,EUCLID AVE,40.675382,-73.87207,"40.675382,-73.87207"
193,R201,WOODHAVEN BLVD,40.73308,-73.869259,"40.73308,-73.869259"
194,R202,63 DR-REGO PARK,40.729869,-73.86161,"40.729869,-73.86161"
195,R203,23 ST-6 AVE,40.742868,-73.99277,"40.742868,-73.99277"
196,R204,CHURCH AVE,40.644039,-73.979541,"40.644039,-73.979541"
197,R205,149 ST-GR CONC,40.818429,-73.926927,"40.818429,-73.926927"
198,R206,125 ST,40.808076,-73.945906,"40.808076,-73.945906"
199,R207,135 ST,40.814459,-73.940992,"40.814459,-73.940992"
200,R208,103 ST-CORONA,40.749858,-73.862672,"40.749858,-73.862672"
201,R209,STERLING ST,40.662752,-73.950605,"40.662752,-73.950605"
202,R210,BEVERLY ROAD,40.645089,-73.948975,"40.645089,-73.948975"
203,R211,KINGS HIGHWAY,40.608691,-73.957772,"40.608691,-73.957772"
204,R212,59 ST,40.641426,-74.017972,"40.641426,-74.017972"
205,R213,BAY RIDGE AVE,40.634945,-74.023411,"40.634945,-74.023411"
206,R214,77 ST,40.629702,-74.025514,"40.629702,-74.025514"
207,R215,86 ST,40.622715,-74.028368,"40.622715,-74.028368"
208,R216,BAY RIDGE-95 ST,40.616624,-74.030964,"40.616624,-74.030964"
209,R217,HOYT/SCHERMER,40.688465,-73.985474,"40.688465,-73.985474"
210,R218,ELMHURST AVE,40.742445,-73.882005,"40.742445,-73.882005"
211,R219,67 AVE,40.726462,-73.85263,"40.726462,-73.85263"
212,R220,CARROLL ST,40.680231,-73.99498,"40.680231,-73.99498"
213,R221,167 ST,40.835535,-73.92138,"40.835535,-73.92138"
214,R222,E 177 ST-PARKCH,40.833246,-73.860805,"40.833246,-73.860805"
215,R223,46 ST-BLISS ST,40.743079,-73.918419,"40.743079,-73.918419"
216,R224,CLARK ST,40.697356,-73.992888,"40.697356,-73.992888"
217,R225,HOYT ST,40.690547,-73.985066,"40.690547,-73.985066"
218,R226,GUN HILL ROAD,40.877796,-73.866341,"40.877796,-73.866341"
219,R227,RECTOR ST,40.707222,-74.013391,"40.707222,-74.013391"
220,R228,AVE J,40.625028,-73.960819,"40.625028,-73.960819"
221,R229,AVE M,40.617568,-73.95936,"40.617568,-73.95936"
222,R230,NECK ROAD,40.595234,-73.95509,"40.595234,-73.95509"
223,R231,UNION ST,40.677302,-73.983135,"40.677302,-73.983135"
224,R232,45 ST,40.648866,-74.010086,"40.648866,-74.010086"
225,R233,53 ST,40.644959,-74.014034,"40.644959,-74.014034"
226,R234,50 ST,40.636232,-73.994765,"40.636232,-73.994765"
227,R235,BEDFORD AVE,40.717241,-73.956614,"40.717241,-73.956614"
228,R236,DEKALB AVE,40.703839,-73.91844,"40.703839,-73.91844"
